what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090527,"org.eclipse.ui.views.log",1249092787871
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1249092787871
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1249092787871
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1249092787871
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1249092787871
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1249092787871
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1249092787871
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,"org.eclipse.wst.common.project.facet.core",1249092787871
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1249092787871
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1249092787871
started,bundle,ch.epfl.lamp.sdt.core,2.8.0.r18418-b20090731023640,"ch.epfl.lamp.sdt.core",1249092787871
started,bundle,org.eclipse.contribution.weaving.jdt,1.6.4.20090313172428,"org.eclipse.contribution.weaving.jdt",1249092787871
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.0.200902241436,"org.eclipse.equinox.weaving.aspectj",1249092787871
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.bugzilla.core",1249092787871
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.bugzilla.ui",1249092787871
started,bundle,org.eclipse.mylyn.commons.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.commons.ui",1249092787871
started,bundle,org.eclipse.mylyn.context.core,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.context.core",1249092787871
started,bundle,org.eclipse.mylyn.context.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.context.ui",1249092787871
started,bundle,scala.library,2.8.0.r18418-b20090731020235,"scala.library",1249092787871
os,sysinfo,,,"macosx",1249092787874
arch,sysinfo,,,"x86",1249092787874
ws,sysinfo,,,"cocoa",1249092787874
locale,sysinfo,,,"en_US",1249092787874
processors,sysinfo,,,"2",1249092787874
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1249092787874
