what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011117932
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011141057
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011157469
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011165181
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011171172
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011187568
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011334142
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011336355
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011342818
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011347804
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1249011356065
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1249011358125
opened,editor,ch.epfl.lamp.sdt.core,2.8.0.r18418-b20090731023640,"scala.tools.eclipse.ScalaEditor",1249011358205
activated,editor,ch.epfl.lamp.sdt.core,2.8.0.r18418-b20090731023640,"scala.tools.eclipse.ScalaEditor",1249011358354
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011358509
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1249011358540
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1249011358681
activated,editor,ch.epfl.lamp.sdt.core,2.8.0.r18418-b20090731023640,"scala.tools.eclipse.ScalaEditor",1249011372646
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011380171
started,bundle,org.eclipse.wst.sse.ui,1.1.100.v200905141750,"org.eclipse.wst.sse.ui",1249011394004
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011516088
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011523877
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249011660168
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1249011669074
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1249011670389
